listing_id,latitude,longitude,neighborhood,room_type,price,review_scores_rating,license,minimum_nights,availability_365,availability_pct,reviews_per_month,host_id,host_name,host_listings_count,is_verified_host,is_high_concentration_host,listing_url,hover_description
16018100,38.88330841064453,-76.98522186279297,"SE Capitol Hill, Lincoln Park",Entire home/apt,,4.77,Licensed,3,0,0.0,1.7,2680706,Bartley,1,True,False,https://www.airbnb.com/rooms/16018100,Sojourn Studio Private Carriage House for Two
16049215,38.92206,-77.07127,"NW-far Cathedral Heights, McLean Gardens, Glover Park",Entire home/apt,,5.0,Licensed,5,4,1.1,0.3,13165562,Adam,2,True,False,https://www.airbnb.com/rooms/16049215,"Modern, Chic Home,  Walk to Shops with Parking"
16052295,38.88235,-76.98278,"SE Capitol Hill, Lincoln Park",Entire home/apt,62.22,4.96,No License,35,43,11.8,0.43,7307125,Sarah,1,True,False,https://www.airbnb.com/rooms/16052295,Sunny Carriage House in Capitol Hill
16131739,38.94626,-77.02444,"NW-mid Brightwood Park, Crestwood, Petworth",Entire home/apt,,4.92,Licensed,4,1,0.3,1.44,6411133,Gladys,1,True,False,https://www.airbnb.com/rooms/16131739,Spacious Family Retreat in Tranquil Neighborhood
16148686,38.92545,-77.00795,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",Entire home/apt,173.67,4.97,Licensed,5,153,41.9,0.31,13503254,David,1,True,False,https://www.airbnb.com/rooms/16148686,D.C. English Basement w/Parking
16157784,38.91793,-77.01422,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",Entire home/apt,250.5,4.94,Licensed,2,167,45.8,0.89,105457042,Nadia,1,True,False,https://www.airbnb.com/rooms/16157784,Welcoming Comfortable Apartment with Beautiful Backyard
16174330,38.9043197631836,-77.06097412109375,"NW-far Georgetown, Burleith/Hillandale",Private room,251.3,4.85,Exempt,1,170,46.6,0.17,105592042,Italo,10,True,True,https://www.airbnb.com/rooms/16174330,Charming Boutique Haven on C&O Canal! Lock6
16178596,38.92306,-77.07316,"NW-far Cathedral Heights, McLean Gardens, Glover Park",Entire home/apt,1331.67,4.96,Licensed,3,256,70.1,0.21,16206623,Jeff,2,True,False,https://www.airbnb.com/rooms/16178596,Row House in Upper Georgetown
16200955,38.93124,-77.02746,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire home/apt,204.35,4.88,Exempt,1,284,77.8,3.24,4192192,Carlton,2,True,False,https://www.airbnb.com/rooms/16200955,Charming 2BD/1BA in Hip Area - Near Metro
16202179,38.9043197631836,-77.06097412109375,"NW-far Georgetown, Burleith/Hillandale",Private room,252.0,4.68,Exempt,1,172,47.1,0.16,105592042,Italo,10,True,True,https://www.airbnb.com/rooms/16202179,Charming Boutique Haven on C&O Canal! Lock5
16204388,38.9268,-77.0551,"NW-far Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Entire home/apt,1492.33,4.95,Exempt,3,327,89.6,1.07,92880710,Roozbeh,1,True,False,https://www.airbnb.com/rooms/16204388,"""Luxury spacious charming DC row house + parking"""
16204459,38.90459,-77.05987,"NW-far Georgetown, Burleith/Hillandale",Private room,230.0,5.0,Exempt,1,177,48.5,0.01,105592042,Italo,10,True,True,https://www.airbnb.com/rooms/16204459,Charming Boutique Haven on C&O Canal! Lock7
16215950,38.90625,-77.01674,"NW-mid Shaw, Logan Circle",Entire home/apt,76.52,4.79,No License,31,67,18.4,1.05,105948654,Michelle,1,True,False,https://www.airbnb.com/rooms/16215950,Convention Center Historic 2 Bedroom Townhouse
16218083,38.90447235107422,-77.06108093261719,"NW-far Georgetown, Burleith/Hillandale",Private room,252.0,4.63,Exempt,1,183,50.1,0.14,105592042,Italo,10,True,True,https://www.airbnb.com/rooms/16218083,Charming Boutique on C&O Canal ~ Workspace! Lock9
16241582,38.90757365841522,-77.01091084273637,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",Entire home/apt,301.0,4.86,Licensed,1,327,89.6,2.64,62342195,Kyle,1,True,False,https://www.airbnb.com/rooms/16241582,Entire Rowhome in Northwest Washington
16258530,38.94204,-77.02304,"NW-mid Brightwood Park, Crestwood, Petworth",Entire home/apt,124.0,4.67,Licensed,2,179,49.0,0.05,17494899,Jackie,1,True,False,https://www.airbnb.com/rooms/16258530,Cozy basement apt in Petworth
16284799,38.91527,-77.02425,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,244.33,4.98,Licensed,3,34,9.3,1.2,16199167,Chris,2,True,False,https://www.airbnb.com/rooms/16284799,"Luxurious 1Bed Carriage House, 1.5 Blocks to Metro"
16284824,38.89963,-76.99885,"NE Union Station, Stanton Park, Kingman Park",Entire home/apt,215.68,4.94,Exempt,1,150,41.1,5.93,2492536,Graham,6,True,True,https://www.airbnb.com/rooms/16284824,Historic Capitol Hill meets trendy H Street
16284856,38.88417,-77.00447,"SE Capitol Hill, Lincoln Park",Entire home/apt,,4.97,No License,31,57,15.6,2.16,27914570,Alison,1,True,False,https://www.airbnb.com/rooms/16284856,English Basement Apartment Steps from the Capitol!
16285366,38.90452194213867,-77.06108093261719,"NW-far Georgetown, Burleith/Hillandale",Private room,268.0,4.86,Exempt,1,154,42.2,0.12,105592042,Italo,10,True,True,https://www.airbnb.com/rooms/16285366,Charming Boutique Haven on C&O Canal! Lock2
16285598,38.9043197631836,-77.06097412109375,"NW-far Georgetown, Burleith/Hillandale",Private room,232.0,5.0,Exempt,1,145,39.7,0.05,105592042,Italo,10,True,True,https://www.airbnb.com/rooms/16285598,Charming Boutique Haven on C&O Canal! Lock3
16285755,38.90436935424805,-77.06107330322266,"NW-far Georgetown, Burleith/Hillandale",Private room,252.0,4.67,Exempt,1,167,45.8,0.03,105592042,Italo,10,True,True,https://www.airbnb.com/rooms/16285755,Charming Boutique Haven on C&O Canal! Lock8
16286156,38.90435791015625,-77.06107330322266,"NW-far Georgetown, Burleith/Hillandale",Private room,280.0,4.6,Exempt,1,149,40.8,0.09,105592042,Italo,10,True,True,https://www.airbnb.com/rooms/16286156,Charming Boutique on C&O Canal ~ Workspace! Lock10
16286331,38.9043197631836,-77.06097412109375,"NW-far Georgetown, Burleith/Hillandale",Private room,372.0,4.75,Exempt,1,177,48.5,0.1,105592042,Italo,10,True,True,https://www.airbnb.com/rooms/16286331,Charming Boutique on C&O Canal ~ Workspace! Lock11
16296814,38.91937,-77.02856,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,239.65,4.95,Licensed,3,254,69.6,3.08,106615219,Linda,1,True,False,https://www.airbnb.com/rooms/16296814,Spacious Grand 2 Bedroom/2 bath near Trendy U St.
16323750,38.90461,-77.01486,"NW-mid Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire home/apt,,4.88,Licensed,5,0,0.0,0.24,13360566,Joseph,1,True,False,https://www.airbnb.com/rooms/16323750,Beautiful Townhouse in Mt. Vernon Triangle
16332139,38.95273,-77.09398,"NW-far Friendship Heights, American University Park, Tenleytown",Entire home/apt,337.19,5.0,No License,31,331,90.7,0.09,106911033,Augie,1,True,False,https://www.airbnb.com/rooms/16332139,American University Park Classic DC Home
16334415,38.89892,-76.98581,"NE Union Station, Stanton Park, Kingman Park",Private room,742.0,,Licensed,3,179,49.0,,3936592,Mary,4,True,False,https://www.airbnb.com/rooms/16334415,Capitol Hill suite for four
16335709,38.8919,-76.99892,"SE Capitol Hill, Lincoln Park",Entire home/apt,298.0,4.81,Licensed,1,204,55.9,1.65,54126082,Jason,4,True,False,https://www.airbnb.com/rooms/16335709,Capitol Hill 1BR Apt by Metro•Sleeps4•Free Parking
16344458,38.91044,-77.02902,"NW-mid Shaw, Logan Circle",Entire home/apt,627.67,4.95,Licensed,3,143,39.2,0.81,31271409,Barry,1,True,False,https://www.airbnb.com/rooms/16344458,Logan Circle Rowhouse
16348636,38.95799,-77.01028,"NW-mid Takoma, Brightwood, Manor Park",Entire home/apt,108.5,4.89,Licensed,2,20,5.5,2.03,6655288,Ellen,1,True,False,https://www.airbnb.com/rooms/16348636,"Charming DC In-Law Suite, 1 BR, Kitchen, Parking"
16361327,38.899914,-77.03313,"NW-mid Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire home/apt,738.0,4.22,Exempt,1,364,99.7,0.59,30283594,Global Luxury Suites I,44,True,True,https://www.airbnb.com/rooms/16361327,Spacious 2BR Kitchen | Work Desk | Wi-Fi | Gym
16376614,38.93436,-77.04308,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire home/apt,82.07,4.71,No License,31,300,82.2,0.18,31214578,Ledio,1,True,False,https://www.airbnb.com/rooms/16376614,Large one bedroom apartment in Mt. Pleasant
16380562,38.89433,-76.98368,"NE Union Station, Stanton Park, Kingman Park",Private room,101.0,4.93,Licensed,1,24,6.6,6.04,104127819,John-Michael,2,True,False,https://www.airbnb.com/rooms/16380562,Queen Bedroom in H ST / Capitol Hill Rowhome
16380887,38.91523,-77.02154,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,225.95,4.82,Licensed,3,214,58.6,2.94,2334362,Scott,2,True,False,https://www.airbnb.com/rooms/16380887,"Central, Bright, Cozy House in Exciting Shaw"
16381317,38.8961,-76.98422,"NE Union Station, Stanton Park, Kingman Park",Private room,93.0,4.93,Licensed,1,27,7.4,6.79,104127819,John-Michael,2,True,False,https://www.airbnb.com/rooms/16381317,2 Queen Bed Bedroom in H ST / Capitol Hill Rowhome
16395494,38.9113,-77.02155,"NW-mid Shaw, Logan Circle",Private room,211.0,4.93,No License,31,364,99.7,0.72,42534044,Bruce,1,True,False,https://www.airbnb.com/rooms/16395494,"White Glove in the heart of Washington, DC"
16405079,38.91131,-77.04399,"NW-mid Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,218.0,4.74,Exempt,1,334,91.5,5.24,39930655,Sojourn,282,True,True,https://www.airbnb.com/rooms/16405079,Historic DuPont Circle Inn ~ Lincoln Room
16427522,38.93728,-77.02303,"NW-mid Brightwood Park, Crestwood, Petworth",Entire home/apt,184.0,4.91,Licensed,1,37,10.1,4.57,107697689,Taylor,1,True,False,https://www.airbnb.com/rooms/16427522,Perfectly Petworth! Apt. Next to Metro w/ Parking
16448459,38.9731330871582,-77.02529907226562,"NW-mid Takoma, Brightwood, Manor Park",Entire home/apt,143.71,4.98,Licensed,7,316,86.6,1.13,107888317,Janell,1,True,False,https://www.airbnb.com/rooms/16448459,Beautiful Renovated 2 Bedroom Apt Takoma Pk
16454685,38.88427,-77.00511,"SE Capitol Hill, Lincoln Park",Entire home/apt,289.26,4.94,Exempt,31,281,77.0,3.45,18393059,Aaron,3,True,False,https://www.airbnb.com/rooms/16454685,"Historic Home Next to Capitol, Walk to Everything!"
16462028,38.89236,-77.00129,"NE Union Station, Stanton Park, Kingman Park",Entire home/apt,272.8,4.8,No License,31,118,32.3,1.31,108007021,Glen,1,True,False,https://www.airbnb.com/rooms/16462028,It’s hard to get any closer to the Capitol dome!
16465485,38.93326,-77.04055,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Private room,179.16,4.95,Licensed,1,338,92.6,6.89,13720227,Brad,1,True,False,https://www.airbnb.com/rooms/16465485,A Tranquil Oasis in Heart of Historic Mt. Pleasant
16472693,38.90199,-76.9897,"NE Union Station, Stanton Park, Kingman Park",Entire home/apt,114.06,5.0,Licensed,31,121,33.2,0.25,20242496,Shawnee Callier,1,True,False,https://www.airbnb.com/rooms/16472693,"3 bdrm, Capitol Hill, H Steet, Union Station"
16487475,38.95697,-77.03259,"NW-mid Brightwood Park, Crestwood, Petworth",Entire home/apt,120.4,4.8,Licensed,2,325,89.0,5.1,108261325,Alex & Shelby,1,True,False,https://www.airbnb.com/rooms/16487475,Cozy Guest Basement Suite w/ Private Entrance
16497765,38.9276,-77.02363,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire home/apt,152.0,4.83,Licensed,1,217,59.5,3.79,108364436,Mila,1,True,False,https://www.airbnb.com/rooms/16497765,B & breakfast in a rowhouse in Columbia Heights
16514018,38.91132,-77.03001,"NW-mid Shaw, Logan Circle",Entire home/apt,335.84,4.9,Licensed,2,343,94.0,1.86,46630199,Home Sweet City,89,True,True,https://www.airbnb.com/rooms/16514018,Stunning Logan Circle Apt - With Parking!
16515949,38.90658,-77.01497,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",Entire home/apt,,4.94,No License,40,23,6.3,1.06,2024948,Keith,3,True,False,https://www.airbnb.com/rooms/16515949,"1 Bedrm, 3rd Fl, Dwntn,3 blks Convention Ctr/Metro"
